description,key_skills
"Чем предстоит заниматься:   Обеспечение бесперебойной работы бизнес процессов Банка на уровне 2-й линий поддержки прикладных систем;  Сопровождение систем на базе Oracle Weblogic, СУБД Oracle, Unix, Микросервисной архитектуры; Выявление, анализ, регистрация и локализация возникающих ошибок и проблем; Взаимодействие со смежными подразделениями при решении инцидентов; Решение обращений пользователей; Взаимодействие с командами в рамках методологии Agile/Scrum.  Что для этого потребуется:   Опыт работы - не менее 3 лет в области прикладной поддержки информационных систем;   Опыт сопровождения Unix платформ;   Опыт чтения логов различных систем, опыт работы с системами класса Service Desk;   Продвинутые навыки работы с программами Microsoft Excel, Microsoft Word, Microsoft Outlook, Microsoft PowerPoint.   Приветствуется:   Знания основ микросервисной архитектуры;   Продвинутые навыки работы с прикладным банковским ПО, АБС, одной из СУБД: MS SQL, Oracle, PostgreSQL;   Участие в проектах по методологии Agile/Scrum;　　   Опыт использования Jira, Confluence;　　   Опыт использования инструментариев: Kibana, Grafana, Zabbix, Cloud Control;   Высшее образование (техническое).   Предлагаем вам:  Возможность участвовать в крупных проектах; Конкурентную и полностью официальную заработную плату; Комфортный и современный офис; Пакет льгот для сотрудников от наших партнеров: ДМС + программа для родственников, льготное кредитование и страхование, партнерские скидки; Для комфортной работы предоставляем оборудование и компенсируем расходы на мобильную связь. ",ORACLE;PostgreSQL;Zabbix;Микросервисы;Unix;MS SQL;Atlassian Jira;Atlassian Confluence;Kibana;Grafana
"Обязанности:  Контроль и развитие отделов КИПиА, АСУТП, робототехники; Участие в подборе и развития персонала; Участие в проектах автоматизации технологических процессов; Согласование договор в технической части; Создание технической политики службы; Выход на новые уровни автоматизации за счет привлечения новых технологий.  Требования:  Высшее техническое образование (автоматизация технологических процессов); Опыт работы по специальности на инженерно-технических и руководящих должностях не менее 5 лет; Опыт работы в пищевом производстве будет являться преимуществом; Знание производственных мощностей, технических характеристик АСУТП и КИПиА, требований СМК и СМБПП; Опыт реализации проектов по внедрению в производство комплексной автоматизации технических процессов; Честность, добросовестность, порядочность, дисциплинированность, инициативность.  Условия:  Официальное трудоустройство с первого дня; Полный социальный пакет; Обучение и повышение квалификаций в рамках компании; Место работы: г. Алексеевка, ул. Фрунзе д.2; Компенсация аренды жилья по согласованию с руководителем; Достойный уровень заработной платы (обсуждается по итогам собеседования). ",Обучение персонала;Управление персоналом;Подбор персонала;Обучение и развитие;Автоматизация технологических процессов;АСУ ТП;КИПиА;Автоматизация производства
"Задачи:  Разработка, внедрение и сопровождение интеграционных решений и сопутствующих сервисов Разработка задач в рамках релизных/проектных планов работ Оптимизация постановок по отношению к существующей архитектуре системы Рефакторинг кода Участие в проектировании архитектуры приложений Code Review кода другого разработчика  Что мы ожидаем от кандидата:  Опыт разработки на современном TypeScript, React\Redux Опыт разработки высоконагруженных систем Опыт кросс-платформенной разработки  Что мы предлагаем:  Оформление по ТК РФ Зарплата оклад + премии Гибкий рабочий день, возможность работать из дома и офиса Отсутствие бюрократии, быстрое принятие решений Молодой дружный коллектив Офис 10 минут пешком от ст м. Курская ",TypeScript;Redux;React;React/Redux;Git;ООП;HTML;CSS
"Привет! Мы ТМК++ IT сектор компании ТМК (Трубной Металлургической Компании) - сильная и перспективная команда разработчиков и высококлассных ИТ специалистов со всей России. Наша команда растет и набирает обороты, сегодня нас уже 800 человек. Немного о нас Занимаемся разработкой, внедрением и развитием системы автоматизации промышленных и бизнес-процессов, реинжинирингом ИТ систем, поддержкой информационных систем. Создаем многоуровневые системы интеграций, работаем с системной архитектурой и с построением ИТ-ландшафтов. Ну и, конечно, машинным обучением, компьютерным зрением, BIG DATA &amp; BI, RPA. Наши партнеры: Microsoft, Cisco, SAP и другие гиганты. Сейчас мы в поисках Разработчика С# / SQL Задачи  Разработка, тестирование и сопровождение программ и программных комплексов в различных средах Анализ возникающих при работе ИС проблем, устранение нарушений, разработка мероприятий по их предотвращению Разработка программной документации Участие в разработке инструкций, методических и нормативных материалов по использованию и эксплуатации элементов ИС  Твои навыки  Хорошее знание языка C# Знание языка SQL ( T-SQL или PL/SQL ) и понимание реляционных БД Практические навыки использования .NET Framework Владение инструментами Microsoft Visual Studio  Будет плюсом  Создание отчетов с использованием Crystal Reports или SQL Server Reporting Services Опыт работы с системами контроля версий Навыки проектирования БД Знание ASP.NET Знание Delphi  Мы предлагаем  Работу в сильной команде профессионалов, наставничество, обучение и поддержку коллег Все по ТК РФ, ДМС и премии по результатам работы Работа в режиме home-office Насыщенную корпоративную культуру и всю необходимую технику Энергичную атмосферу и работу над крутыми проектами  Присоединяйся к команде профессионалов!",C#;T-SQL;SQL;PL/SQL;.NET Framework;Microsoft Visual Studio;Crystal Reports;QL Server Reporting Services;ASP.NET;Delphi
"Обязанности:  Развёртывание, настройка и сопровождение модулей информационных систем 1С, ТАНДЕМ.Университет (настройка прав пользователей, печатных форм документов, заполнение первичных данных справочников и их дальнейшая актуализация, реестров и проч.). Постановка задач на изменение / расширение / исправление функционала систем по заявкам пользователей системы и/или самостоятельная настройка системы, установка обновлений и контроль функционирования модулей систем. Развертывание, настройка и сопровождение серверов СУБД. Настройка сетевого взаимодействия между модулями информационных систем.  Требования:  Знание и опыт администрирования серверов приложений 1С: настройка клиентской части (тонкого/толстого клиента) и настройка серверной части (включая доступ толстым/тонким клиентом и через web-интерфейса серверов 1С), установка новых модулей, обновлений, регистрация пользователей и настройка прав пользователям. Знание и опыт работы с объектно-ориентированными языками программирования.  Знание офисных продуктов MS Word и Excel. Знание языка SQL, опыт написания запросов. Знание языков программирования. Опыт написания небольших программ для облегчения жизни пользователям. Знание принципов работы web-приложений. Опыт развёртывания настройки и администрирования web-серверов. Опыт работы с серверными ОС семейства Windows и Linux (желательно на уровне администратора, минимум – продвинутого пользователя). Опыт взаимодействия с пользователями и разработчиками в режиме Сервис-деск.  Условия:  ​​Официальное трудоустройство в соответствии с ТК РФ  &quot;Белая&quot; заработная плата   Будь Лидером!Учить и Учиться!",Linux;MS SQL Server;Администрирование;Windows Os;Грамотность;Базы данных;1С: Документооборот;1С: Бухгалтерия и склад;PostgreSQL;MySQL;СУБД
"Обязанности  Разработка и актуализация организационно-распорядительных документов объектов критической информационной инфраструктуры (ОКИИ) Участие в процессе категорирования, оформление документации Методологическая поддержка филиалов Общества по вопросам безопасности ОКИИ Рассмотрение технических заданий на создание, модернизацию или сервисное обслуживание ОКИИ в части требований по их безопасности Контроль за обеспечением состояния безопасности ОКИИ в т.ч. путем проведения плановых и внеплановых проверок филиалов Общества Контроль выполнения работ сторонними организациями в части обеспечения безопасности ОКИИ, а также проведение проверок результата работ и отчетных документов на соответствие заданным требованиям Участие в расследовании компьютерных инцидентов и реагировании на них в ходе эксплуатации ОКИИ, последующем их анализе и планировании мероприятий по их предотвращению.  Требования  Высшее профессиональное образование по направлению информационной безопасности или иное высшее профессиональное образование (желательно: АСУ ТП, энергетика или ИТ) Опыт работы в профильных подразделениях по ИБ или ИБ АСУ ТП в крупных производственных компаниях/компаниях ТЭК/системном интеграторе не менее 2 лет Знание основных программных и программно-аппаратных средств защиты информации и принципов его работы (SIEM, сканеры безопасности, антивирусы, межсетевые экраны, системы обнаружения вторжений, специализированные решения по ИБ АСУ ТП и т.д.), опыт эксплуатации средств зашиты информации Опыт составления и проверки технической, аналитической, проектной и рабочей документации Базовые навыки администрирования пользовательских и серверных ОС на базе Windows  Условия  Работа в крупнейшей российской территориальной генерирующей компании Комфортный современный офис в 2х минутах от метро График работы пн.-чт. 8.00-17.00, пт. 15.45 Оформление согласно ТК РФ Предоставление корпоративной мобильной связи ДМС со стоматологией Льготы согласно коллективному договору ",Информационная безопасность;Информационные технологии;Технические средства информационной защиты;Аналитическое мышление;SIEM;объекты критической информационной инфраструктуры;ОКИИ;АСУ;Защита информации
"Основные требования: - От 3 лет опыта работы с Flutter - Опыт работы с GitHub или аналогами (Git или SVN) Желательно: - Опыт разработки финтех продуктов/умного дома - Успешный опыт работы в небольших командах (без CTO, QA и тех писателей) - Работы по спринтам - Выход на фултайм Почему это может быть интересно: - Крипто стартап, возможность присоединиться к крутому проекту на старте и значительно влиять на ход развития продукта - Зарплата в $ и Крипте - Fully remote режим работы - Гибкий график работы (можно работать из любой точки мира, нет ограничения в часовых поясах) - Быстрое согласование и отсутствие бюрократии - Создание уникального продукта  ",Git;GitHub;Visual Studio Code;Уверенный пользователь MS Office;Быстрое обучение;Flutter;Энтузиазм;Умение быстро усваивать новую информацию
"IT-компания: мы разрабатываем программное обеспечение, для автоматизации ресторанного бизнеса и сферы общественного питания. У нас дружная и креативная команда, мы любим и умеем решать нестандартные задачи. В связи с активным ростом и масштабированием компании ищем в команду Fullstack-разработчика, наших решений для бизнеса. Что нужно делать:— Разработка новых, доработка имеющихся сайтов на symfony— Участие в разработке нового поколения флагманского продукта компании;— Реализация комплексного веб-интерфейса с использованием как front-, так и backend технологий;Что мы ждем от кандидата: — разработка новых, доработка имеющихся сайтов на symfony — опыт работы с laravel или symfony (или любого другого современного фреймворка) от 1 года; — навык в html5 + jquery фреймворков; — навык в html5 + jquery фреймворков; — уверенные знания PHP, ООП и MySQL; — опыт работы с Web- сервисами ; — опыт работы с git; — опыт работы с Linux — умение разбираться в чужом коде; — опыт работы в Jira. — чистый код, аккуратность, внимание к деталям Что мы предлагаем: — Интересную работу в престижной Компании; — Стабильную заработную плату; — Офис в креативом бизнес пространстве &quot;Икра&quot; на Центральной набережной; — График работы: 5/2. — Активную, динамичную работу, на которой не придется скучать. — Официальное трудоустройство в штат с 1-го дня. — Оформление на работу в соответствии с ТК РФ, запись в трудовой книжке, оплачиваемые больничные листы и отпуск; — Команду единомышленников, которым нравится делать клиентов и себя счастливыми; Мы ждем именно тебя!!!!    ",jQuery;PHP;MySQL;JavaScript;laravel;Symfony;ООП;Git;PHP5;HTML;Web
"Обязанности  Поддерживать серверы на базе операционных систем Linux; Поддерживать почтовые сервисы на базе операционных систем Linux; Обеспечивать бесперебойную работу системы резервного копирования; Настраивать систему мониторинга серверной инфраструктуры и платформы виртуализации; Устранять нештатные ситуации по ИТ инфраструктуре в минимально возможные сроки; Оказывать техническую помощь и консультации структурным подразделениям организации; Вести техническую документацию.  Требования  Опыт администрирования операционных систем Linux (Debian, Ubuntu или других); Опыт развертывания, администрирования инфраструктур на операционных систем Linux с использованием систем централизованной аутентификации (Samba 4, FreeIPA или аналогичных), опыт использования в указанной среде систем с операционной системой Linux и Microsoft; Опыт миграции пользователей с инфраструктуры, построенной на базе продуктов Microsoft, на инфраструктуру, построенную на базе Linux; Опыт поддержки почтовых систем на базе операционных систем Linux (Communigate Pro, Zimbra или аналогичных); Опыт использования централизованных систем управления серверами Linux (Landscape или аналогичных); Опыт использования системы управления конфигурациями Ansible или аналогичных; Опыт использования Bash, Python для решения задач администрирования и автоматизации рутинных задач; Знание и опыт администрирования систем виртуализации на базе VMware, MS Hyper-V, KVM; Опыт администрирования систем спам фильтрации; Опыт администрирования систем резервного копирования (Veeam Backup &amp; Replication или аналогичных); Опыт использования систем мониторинга Zabbix или аналогичных; Умение вести техническую документацию и писать инструкции; Уровень английского позволяющий читать документацию и профильные ресурсы.  Формат работы:  Офис/ гибрид, 5/2, с 9 до 18 ч. ",Ansible;Bash;Python;Linux;Zabbix;Администрирование серверов Windows;Администрирование серверов Linux;Почтовые сервисы;Ms Exchange Server;MS Exchange;Миграции сервисов с Windows на Linux
"Digital TWIGA - digital-агентство полного цикла, которое входит в Группу TWIGA - крупнейшая независимая коммуникационная группа в России. Команда 50+человек, темпы роста 2х за последний, высокая степень интеграции с другими агентствами группы компаний TWIGA (креатив, PR, медиа, BTL). Ключевые направления работы компании - комплексные стратегии и проекты в digital, охватные digital медиа, performance маркетинг и аналитика, контент- и web-production. Ключевые индустрии и клиенты - недвижимость, фармацевтическая отрасль, FMCG. В связи с масштабированием компании, мы ищем нового сильного сотрудника на позицию Аккаунт-менеджер / Account Manager (Digital) на направление недвижимость Обязанности:  Контроль KPI проекта Участие в медиапланировании работа с клиентом (выстраивание доверительных отношений, day-2-day коммуникация по проекту, развитие клиента и проектов, формирование и управление ожиданиями, проведение проектных встреч (брифинги, самапы); взаимодействие с проектной командой (контроль выполнения задач исполнителями внутри агентства по разным направлениям digital);  организация встреч с клиентом по текущим проектам;   отчётность по результатам работы.     Требования:  Опыт работы на стороне digital агентств желательно Ведение клиентов из сферы e-commerce или финансы опыт работы с крупными клиентами (media, performance); знание digital-инструментов, систем аналитики, структуры рынка и поставщиков; знание английского языка приветствуется. уверенное знание excel (Формулы, ВПР, сводные) Преимущественно опыт работы со сферой недвижимости    Условия:  График 5/2. 10:00 - 19:00 Конкурентная заработная плата (обсуждается индивидуально) Дополнительный обучающие курсы повышения квалификации ",Digital Marketing;Account Management;Коммуникативная стратегия;Работа с ключевыми клиентами;Управление командой;Медиапланирование;Google Analytics;Яндекс.Метрика;Google AdWords;Яндекс.Директ
"Обязанности:  Вторая линия поддержки; Обработка заявок внутренних пользователей информационных систем компании; Выявление массовых инцидентов и заведение проблем; Поиск и применение «обходных решений» при исправлении ошибок в ИС; Анализ и разбор ошибок, возникающих в работе ПО пользователей.  Требования:  Опыт поддержки пользователей прикладных ИТ-систем от 1 года; Предоставление доступов к системам исправление ошибок с применением обходных решений; Знание основных SQL запросов; Понимание REST API; Умение работать с log файлами; Понимание принципов программирования.  Условия:  Официальное оформление по ТК РФ; Внутреннее и внешнее обучение; ДМС через 3 месяца работы (испытательный срок); Карьерный рост внутри компании; 100% оплачиваемый больничный до 14 дней в год; Корпоративные скидки от партнеров; Финансовая поддержка при значимых событиях в жизни; Специальные предложения по страховым продуктам компании. ",SQL;Планирование карьеры;Microsoft Access;AllFusion ERwin Data Modeler;1С-Битрикс;API;HTML;Решение проблем;ООП
"Условия:  Достойная, официальная заработная плата от 50000 руб. до 100 000 руб. (в зависимости от квалификации и результативности); Первый месяц полное обучение и адаптация. На период обучения выплачивается стипендия – 25000 руб. Официальное трудоустройство согласно ТК РФ; Соц. пакет согласно ТК РФ (оплачиваемые больничный лист и отпуск - 28 дн.); Работа в стабильной, постоянно развивающейся компании в сплоченной команде профессионалов; Возможность повышения своей квалификации, обучение, профессиональный и карьерный рост; Активная корпоративная жизнь.  Обязанности:  Консультирование пользователей по использованию программ 1С; Индивидуальное и групповое обучение пользователей 1С;  Преимуществом будут:  Знание бухгалтерского учета, казначейство, закупки, бюджетирование, договора, нормативно-справочная информация, Знание 1С: Бухгалтерии 8, преимуществом будет знание нескольких конфигураций 1С: Зарплата и Управление Персоналом, Управление торговлей, Розница и т.д.  Личные качества: Аналитический склад ума, ответственность, нацеленность на результат, коммуникабельность, грамотная речь, гибкость, лояльность, стрессоустойчивость, обучаемость. Ждем ваши резюме!",1С: Бухгалтерия;1С: Предприятие 8;1С: Зарплата и управление персоналом;1C: Бухгалтерия;1С: Зарплата и кадры;1С: Управление Торговлей;1С: Розница;Работа в программе 1С;Уверенный пользователь ПК;Консультирование клиентов;Опытный пользователь ПК
"Офис «Новые Черемушки» — одно из крупнейших подразделений компании «Первый Бит». Мы специализируемся на автоматизации среднего бизнеса. Офис открыт в 2006 году, и за 14 лет работы мы успешно автоматизировали тысячи российских и международных компаний. Среди наших клиентов такие компании как Huawei, ФК «Спартак», Газпром охрана, Сити Ресторантс, Монсанто, Бэбилис восток, Семейные кафе АндерСон, МФЮА, АО «ГКНПЦ им. М.В. Хруничева», Манго телеком и другие. Сейчас мы ищем второго Руководителя группы в наш офис в существующий отдел программистов 1С. Обязанности:   Организация работ по внедрению, поддержке и доработке различных конфигураций 1С под нужды клиентов, контроль соблюдения сроков и качества работы;   Подбор и развитие новых сотрудников;   Усиление профессиональных компетенций действующей команды;  Руководство проектами.  Требования:   Опыт успешных внедрений продуктов 1С;   Знание на профессиональном уровне одной или нескольких конфигураций 1С, а также одного или нескольких видов учёта: бухгалтерский и налоговый, финансовый, оперативный, управленческий;  Успешный опыт обучения и наставничества; Опыт создания команды с нуля будет являться преимуществом.  Условия:  Белая заработная плата (оклад + квартальная премия). Выстроенная эффективная система ввода в должность и последующего обучения; Регулярные мероприятия для обмена опытом и повышения квалификации; Высокая степень самостоятельности и ответственности в работе; Оформление по ТК РФ. ",1С программирование;1С: Бухгалтерия;1С: Предприятие 8;1С: Зарплата и управление персоналом;1С: Управление Торговлей;1С: Документооборот;1С: Комплексная автоматизация;1С: Торговля и склад;Управление персоналом;Подбор персонала;Обучение персонала;1С: Зарплата и кадры
"Обязанности:  Мониторинг и обеспечение бесперебойной работы IT-инфраструктуры компании (компьютеры, серверы, сети); Оперативное устранение сбоев работы IT-систем; Обеспечение технической поддержки пользователей; Администрирование серверного и сетевого оборудования.  Требования:  Знание системы MS Axapta 2009/2012 (расчеты с поставщиками и клиентами, расчеты с персоналом, учет движения товаров и материалов, главная книга), понимание соответствующих бизнес-процессов; Разработка запросов и процедур в MS SQL; Навык проведения технической диагностики неисправности, описания взаимосвязей неисправности для эскалации инцидентов; Знание порядка ведения и оформления технической документации, инструкций; Участие в тестировании системы; Подготовка методических материалов;  Обучение пользователей; Опыт работы в jira/HelpDesk; Опыт выстраивания конструктивного взаимодействия с людьми, умение ясно излагать свои мысли.  Условия:  Официальное оформление по ТК РФ; Внутреннее и внешнее обучение; ДМС через 3 месяца работы (испытательный срок); Карьерный рост внутри компании; 100% оплачиваемый больничный до 14 дней в год; Корпоративные скидки от партнеров; Финансовая поддержка при значимых событиях в жизни; Специальные предложения по страховым продуктам компании. ",MS SQL;SIP;Техническая поддержка;Настройка сетевых подключений;Администрирование серверов Windows;Transact-SQL;SOAP;MongoDB;Zabbix;Настройка DNS;DHCP;Apache HTTP Server;Atlassian Jira;Atlassian Confluence
"Мы, компания CSBI - российский разработчик it-решений для коммерческого и государственного сектора. Мы существуем на рынке более 28 лет и зарекомендовали себя как команда профессионалов в реализации сложных комплексных IT-проектов, требующих индивидуального подхода и глубокой экспертизы. Решения нашей компании обладают гибкостью, позволяющей удовлетворять требованиям различных отраслей коммерческого сектора, и могут быть востребованы и успешно внедрены в банках, финансовых, страховых, лизинговых, торговых компаниях, медицинских учреждениях, в сфере телекоммуникаций, недвижимости и строительства, на промышленных и транспортных предприятиях.   Обязанности:   Удаленная техническая поддержка пользователей;  Приём, регистрация, классификация и контроль выполнения заявок на предоставление информационно-технологических услуг согласно SLA; Регистрация, диагностирование и контроль выполнения обращений пользователей на устранение проблем в работе оборудования и программного обеспечения; Выполнение начальной поддержки пользователей, в том числе консультация пользователей по установке, настройке и работе программного обеспечения.  Требования:  Уверенное владение ПК, знание Windows 7/10 на уровне администратора; Знание сетевых протоколов, почтовых программ (MS Outlook), практический опыт устранения технических неисправностей ПК; Знание современного аппаратного обеспечения и периферии, опыт в установке различных прикладных программ; Грамотная письменная и устная речь; Высокая скорость набора текста на клавиатуре; Знание технического английского языка.  Условия:  График работы 5/2,1 раз в 1,5 – 2 месяца возможно дежурство на выходных днях. Удаленный формат работы; Оформление по ТК РФ, «белая» зарплата; ДМС ",Настройка ПК;Настройка сетевых подключений;Настройка ПО;Сборка ПК;Высокая скорость печати;Грамотная речь;Техническая поддержка;windows 7/10;MS Outlook;Коммуникабельность;Стрессоустойчивость
"Международная команда ищет опытного веб-дизайнера - с огнём в глазах и с руками в правильном месте.   Обязанности:  Отрисовка лендов и пре-лендов; Разработка дизайна на основе концепции; Разработка логотипов, иконок и графических элементов для сайтов; Подготовка графических материалов для сайтов; Создание статичных и анимированных баннеров.    Требования:  Прекрасное владение Photoshop, Illustrator; Figma; Опыт работы с крупными заказчиками; Наличие профессионального портфолио.    Мы предлагаем:  Профессиональный коллектив; Конкурентная зарплата; Перспектива карьерного роста при достижении результатов; Оплата обучения, повышения квалификации и другие возможности для карьерного и профессионального роста. ",Adobe Photoshop;Adobe Illustrator;Figma;Графический дизайн;Web-дизайн;Web Design;Веб-дизайн;Дизайн;Креативность;Логотипы
"Мы работаем с 2012 года. Создаем сайты, сервисы и мобильные приложения с упором на современные технологии и решения. Lince аккредитованная IT-компания, внесенная в реестр Минцифры России. Обязанности:  Back-end разработка для внутренних и внешних проектов студии;  Разработка API;  Покрытие кода тестами (основного функционала); Выявление и устранение ошибок; Анализ и оптимизация существующего программного кода.  Требования:   Знание PHP и SQL;   Умение читать и понимать чужой код;   Умение писать внятный, тестируемый код;   Опыт ООП-разработки на PHP, понимание MVC;   Опыт работы с Git.   Не обязательно, но будет плюсом:   Опыт работы с 1С-Битрикс;   Опыт работы с Yii2 и/или Laravel;   Опыт интеграции с внешними сервисами (REST API/SOAP)   Условия:  Активная работа в дружном коллективе; Оформление согласно ТК РФ; График работы 5\2, гибкое время; Удаленная работа или в офисе (по желанию); Полностью белая зарплата; Аккредитованная IT-компания; Заработная плата по результатам собеседования. ",PHP;MySQL;ООП;1С-Битрикс;Git;Yii2;Laravel;MVC;API;REST API
"Крауд - аутсорсинговая команда профессионалов в сфере информационной безопасности, разработки софта, управления проектами, системного администрирования и технической поддержки. Наши клиенты - средние и крупные компании, а также государственные/некоммерческие организации. Мы ищем в нашу команду Руководителя проектов: Обязанности:   Управление разработкой для сферы: веб-приложения и системы для работы с финансовыми продуктами (трейдинг, кредитование, предоставление информации о финансовых услугах).  Постановка и контроль выполнения задач аналитикам, программистам, тестерам, девопсам. Взаимодействие с заказчиком, анализ потребностей, работа с обратной связью;  Дополнительные требования:   Опыт работы в ИТ от 2-х лет, управления проектами от года;   Умение работать с Jira, Confluence, Git;   Опыт в качестве аналитика очень пригодится;   Умение расставлять приоритеты, рассчитывать ключевые показатели эффективности;  Ответственность за результат, поддержание и развитие текущих проектов;  Понимание принципов индустриальной разработки.   Условия:   Комфортабельный офис в ИТ-ориентированном центре “Обводный двор”; Полностью белое официальное оформление с первого дня; Возможность попробовать себя в разработке разнообразных фин-тех проектов; Возможности для профессионального обучения и развития; Конкурентный уровень заработной платы. ",Git;Jira;Confluence;Office;Умение объяснять;Постановка задач разработчикам;Управление проектами;Работа в команде;Аналитическое мышление
